会う,あう,to meet
,ほんとう,truth
毎朝,まいあさ,every morning
毎月,まいげつ/まいつき,every month
毎週,まいしゅう,every week
毎日,まいにち,every day
毎年,まいねん/まいとし,every year
毎晩,まいばん,every night
前,まえ,before
曲る,まがる,"to turn,to bend"
,まずい,unpleasant
,また,"again,and"
,まだ,"yet,still"
町,まち,"town,city"
待つ,まつ,to wait
,まっすぐ,"straight ahead,direct"
,マッチ,match
窓,まど,window
丸い/円い,まるい,"round,circular"
万,まん,ten thousand
万年筆,まんねんひつ,fountain pen
磨く,みがく,"to brush teeth, to polish"
右,みぎ,right side
短い,みじかい,short
水,みず,water
店,みせ,shop
見せる,みせる,to show
道,みち,street
三日,みっか,"three days, third day of the month"
三つ,みっつ,three
緑,みどり,green
皆さん,みなさん,everyone
南,みなみ,south
耳,みみ,ear
見る 観る,みる,"to see, to watch"
,みんな,everyone
六日,むいか,"six days, sixth day of the month"
向こう,むこう,over there
難しい,むずかしい,difficult
六つ,むっつ,six
村,むら,village
目,め,eye
,メートル,metre
眼鏡,めがね,glasses
,もう,already
もう一度,もういちど,again
木曜日,もくようび,Thursday
持つ,もつ,to hold
,もっと,more
物,もの,thing
門,もん,gate
問題,もんだい,problem
八百屋,やおや,greengrocer
野菜,やさい,vegetable
易しい,やさしい,"easy, simple"
安い,やすい,cheap
休み,やすみ,"rest,holiday"
休む,やすむ,to rest
八つ,やっつ,eight
山,やま,mountain
,やる,to do
夕方,ゆうがた,evening
夕飯,ゆうはん,dinner
郵便局,ゆうびんきょく,post office
昨夜,ゆうべ,last night
有名,ゆうめい,famous
雪,ゆき,snow
行く,ゆく,to go
,ゆっくりと,slowly
八日,ようか,"eight days, eighth day of the month"
洋服,ようふく,western-style clothes
,よく,"often, well"
横,よこ,"beside,side,width"
四日,よっか,"four days, fouth day of the month"
四つ,よっつ,four
呼ぶ,よぶ,"to call out,to invite"
読む,よむ,to read
夜,よる,"evening,night"
弱い,よわい,weak
来月,らいげつ,next month
来週,らいしゅう,next week
来年,らいねん,next year
,ラジオ,radio
,ラジカセ / ラジオカセット,radio cassette player
,りっぱ,splendid
留学生,りゅうがくせい,overseas student
両親,りょうしん,both parents
料理,りょうり,cuisine
旅行,りょこう,travel
零,れい,zero
冷蔵庫,れいぞうこ,refrigerator
,レコード,record
,レストラン,restaurant
練習,れんしゅうする,to practice
廊下,ろうか,corridor
六,ろく,six
,ワイシャツ,business shirt
若い,わかい,young
分かる,わかる,to be understood
忘れる,わすれる,to forget
私,わたくし,"(humble) I,myself"
私,わたし,"I,myself"
渡す,わたす,to hand over
渡る,わたる,to go across
悪い,わるい,bad
,より、ほう,Used for comparison.
